Product,Category,N_products,Total,Percentage,Fixed,Repairable,End of Life,Fixed Cnt,Repairable Cnt,End of Life Cnt
Gaming Console - Model 65,Gaming Console,204,11,0.0%,55.3%,16.2%,28.5%,6,2,3
Gaming Console - Model 66,Gaming Console,204,51,0.0%,50.2%,21.5%,28.2%,26,11,14
Gaming Console - Model 67,Gaming Console,204,92,0.0%,54.6%,24.7%,20.8%,50,23,19
Gaming Console - Model 68,Gaming Console,204,31,0.0%,44.9%,7.9%,47.2%,14,2,15
Gaming Console - Model 69,Gaming Console,204,64,0.0%,48.2%,7.1%,44.7%,31,5,28
Gaming Console - Model 70,Gaming Console,204,360,0.1%,64.8%,8.7%,26.5%,233,31,96
Gaming Console - Model 71,Gaming Console,204,228,0.1%,46.4%,5.4%,48.2%,106,12,110
Gaming Console - Model 72,Gaming Console,204,67,0.0%,71.3%,25.3%,3.4%,48,17,2
Gaming Console - Model 73,Gaming Console,204,66,0.0%,46.5%,23.5%,30.0%,31,16,19
Gaming Console - Model 74,Gaming Console,204,14,0.0%,57.3%,11.0%,31.7%,8,2,4
Gaming Console - Model 75,Gaming Console,204,88,0.0%,64.9%,9.5%,25.7%,57,8,23
Gaming Console - Model 76,Gaming Console,204,26,0.0%,70.3%,6.2%,23.5%,18,2,6
Gaming Console - Model 77,Gaming Console,204,161,0.1%,78.4%,6.8%,14.8%,126,11,24
Gaming Console - Model 78,Gaming Console,204,4,0.0%,63.2%,27.6%,9.3%,3,1,0
Gaming Console - Model 79,Gaming Console,204,28,0.0%,40.5%,17.5%,42.1%,11,5,12
Gaming Console - Model 80,Gaming Console,204,40,0.0%,54.0%,19.5%,26.5%,22,8,10
Gaming Console - Model 81,Gaming Console,204,26,0.0%,49.0%,6.6%,44.4%,13,2,11
Gaming Console - Model 82,Gaming Console,204,12,0.0%,65.0%,15.4%,19.5%,8,2,2
Gaming Console - Model 83,Gaming Console,204,44,0.0%,64.9%,10.3%,24.8%,29,5,10
Gaming Console - Model 84,Gaming Console,204,69,0.0%,53.5%,19.0%,27.4%,37,13,19
Gaming Console - Model 85,Gaming Console,204,51,0.0%,63.7%,14.3%,22.0%,32,7,12
Gaming Console - Model 86,Gaming Console,204,13,0.0%,51.2%,11.8%,37.0%,7,2,4
Gaming Console - Model 87,Gaming Console,204,65,0.0%,47.0%,13.1%,39.9%,31,9,25
Gaming Console - Model 88,Gaming Console,204,15,0.0%,48.0%,20.8%,31.2%,7,3,5
Gaming Console - Model 89,Gaming Console,204,9,0.0%,62.8%,14.6%,22.7%,6,1,2
Gaming Console - Model 90,Gaming Console,204,58,0.0%,53.0%,10.9%,36.0%,31,6,21
Gaming Console - Model 91,Gaming Console,204,91,0.0%,61.4%,28.0%,10.6%,56,25,10
Gaming Console - Model 92,Gaming Console,204,32,0.0%,67.4%,23.6%,9.0%,22,8,2
Gaming Console - Model 93,Gaming Console,204,37,0.0%,73.4%,13.8%,12.8%,27,5,5
Gaming Console - Model 94,Gaming Console,204,18,0.0%,42.5%,20.6%,36.9%,8,4,6
Gaming Console - Model 95,Gaming Console,204,34,0.0%,47.5%,19.2%,33.2%,16,7,11
Gaming Console - Model 96,Gaming Console,204,7,0.0%,69.6%,24.6%,5.8%,5,2,0
Gaming Console - Model 97,Gaming Console,204,154,0.1%,52.1%,17.8%,30.1%,80,27,47
Gaming Console - Model 98,Gaming Console,204,79,0.0%,64.8%,25.5%,9.7%,51,20,8
Gaming Console - Model 99,Gaming Console,204,54,0.0%,70.4%,29.6%,0.0%,38,16,0
Gaming Console - Model 100,Gaming Console,204,38,0.0%,40.3%,15.9%,43.7%,15,6,17
Gaming Console - Model 101,Gaming Console,204,77,0.0%,50.2%,8.0%,41.8%,39,6,32
Gaming Console - Model 102,Gaming Console,204,34,0.0%,73.3%,26.7%,0.0%,25,9,0
Gaming Console - Model 103,Gaming Console,204,18,0.0%,47.2%,6.0%,46.8%,9,1,8
Gaming Console - Model 104,Gaming Console,204,9,0.0%,51.0%,25.9%,23.1%,5,2,2
Gaming Console - Model 105,Gaming Console,204,51,0.0%,51.8%,6.4%,41.8%,26,3,22
Gaming Console - Model 106,Gaming Console,204,131,0.0%,42.1%,15.7%,42.2%,55,21,55
Gaming Console - Model 107,Gaming Console,204,8,0.0%,77.3%,12.1%,10.6%,6,1,1
Gaming Console - Model 108,Gaming Console,204,10,0.0%,57.1%,7.5%,35.4%,6,1,3
Gaming Console - Model 109,Gaming Console,204,28,0.0%,59.7%,22.4%,17.8%,17,6,5
Gaming Console - Model 110,Gaming Console,204,81,0.0%,50.8%,12.4%,36.7%,41,10,30
Gaming Console - Model 111,Gaming Console,204,17,0.0%,73.7%,5.3%,21.1%,13,1,3
Gaming Console - Model 112,Gaming Console,204,14,0.0%,65.5%,14.8%,19.7%,9,2,3
Gaming Console - Model 113,Gaming Console,204,48,0.0%,51.9%,21.4%,26.6%,25,10,13
Gaming Console - Model 114,Gaming Console,204,38,0.0%,73.4%,19.0%,7.7%,28,7,3
Gaming Console - Model 115,Gaming Console,204,3,0.0%,41.2%,16.5%,42.2%,1,0,2
Gaming Console - Model 116,Gaming Console,204,4,0.0%,58.5%,18.6%,22.9%,2,1,1
Gaming Console - Model 117,Gaming Console,204,51,0.0%,66.8%,5.5%,27.7%,34,3,14
Gaming Console - Model 118,Gaming Console,204,31,0.0%,60.1%,19.7%,20.2%,19,6,6
Gaming Console - Model 119,Gaming Console,204,174,0.1%,53.7%,21.7%,24.6%,93,38,43
Gaming Console - Model 120,Gaming Console,204,56,0.0%,49.1%,12.9%,37.9%,28,7,21
Gaming Console - Model 121,Gaming Console,204,0,0.0%,78.5%,13.7%,7.8%,0,0,0
Gaming Console - Model 122,Gaming Console,204,32,0.0%,53.9%,19.9%,26.2%,17,6,9
Gaming Console - Model 123,Gaming Console,204,26,0.0%,74.6%,25.4%,0.0%,19,7,0
Gaming Console - Model 124,Gaming Console,204,6,0.0%,63.2%,5.0%,31.8%,4,0,2
Gaming Console - Model 125,Gaming Console,204,126,0.0%,76.0%,19.3%,4.7%,96,24,6
Gaming Console - Model 126,Gaming Console,204,81,0.0%,54.6%,25.7%,19.6%,44,21,16
Gaming Console - Model 127,Gaming Console,204,13,0.0%,56.0%,5.9%,38.2%,7,1,5
Gaming Console - Model 128,Gaming Console,204,15,0.0%,72.8%,18.6%,8.5%,11,3,1
Gaming Console - Model 129,Gaming Console,204,2,0.0%,53.5%,11.3%,35.2%,1,0,1
Gaming Console - Model 130,Gaming Console,204,17,0.0%,63.8%,10.2%,26.0%,11,2,4
Gaming Console - Model 131,Gaming Console,204,43,0.0%,53.0%,20.9%,26.1%,23,9,11
Gaming Console - Model 132,Gaming Console,204,27,0.0%,75.3%,18.3%,6.4%,20,5,2
Gaming Console - Model 133,Gaming Console,204,171,0.1%,70.4%,24.1%,5.6%,120,41,10
Gaming Console - Model 134,Gaming Console,204,3,0.0%,66.6%,11.1%,22.3%,2,0,1
Gaming Console - Model 135,Gaming Console,204,44,0.0%,74.7%,15.9%,9.4%,33,7,4
Gaming Console - Model 136,Gaming Console,204,96,0.0%,41.8%,11.1%,47.1%,40,11,45
Gaming Console - Model 137,Gaming Console,204,32,0.0%,70.6%,6.7%,22.6%,23,2,7
Gaming Console - Model 138,Gaming Console,204,0,0.0%,45.9%,22.4%,31.7%,0,0,0
Gaming Console - Model 139,Gaming Console,204,14,0.0%,75.7%,20.8%,3.5%,11,3,0
Gaming Console - Model 140,Gaming Console,204,19,0.0%,48.9%,6.3%,44.8%,9,1,9
Gaming Console - Model 141,Gaming Console,204,167,0.1%,64.6%,6.2%,29.2%,108,10,49
Gaming Console - Model 142,Gaming Console,204,120,0.0%,64.5%,10.6%,24.9%,77,13,30
Gaming Console - Model 143,Gaming Console,204,147,0.1%,76.2%,16.9%,6.9%,112,25,10
Gaming Console - Model 144,Gaming Console,204,86,0.0%,49.0%,26.3%,24.7%,42,23,21
Gaming Console - Model 145,Gaming Console,204,21,0.0%,50.2%,12.7%,37.2%,11,3,7
Gaming Console - Model 146,Gaming Console,204,116,0.0%,73.4%,12.7%,13.9%,85,15,16
Gaming Console - Model 147,Gaming Console,204,197,0.1%,56.4%,13.7%,29.9%,111,27,59
Gaming Console - Model 148,Gaming Console,204,21,0.0%,44.7%,6.0%,49.4%,9,1,11
Gaming Console - Model 149,Gaming Console,204,15,0.0%,69.0%,21.1%,9.9%,10,3,2
Gaming Console - Model 150,Gaming Console,204,39,0.0%,51.3%,12.4%,36.3%,20,5,14
Gaming Console - Model 151,Gaming Console,204,10,0.0%,74.1%,25.9%,0.0%,7,3,0
Gaming Console - Model 152,Gaming Console,204,2,0.0%,58.9%,25.1%,16.0%,1,1,0
Gaming Console - Model 153,Gaming Console,204,144,0.1%,69.5%,12.4%,18.1%,100,18,26
Gaming Console - Model 154,Gaming Console,204,128,0.0%,42.3%,8.6%,49.1%,54,11,63
Gaming Console - Model 155,Gaming Console,204,9,0.0%,73.5%,23.3%,3.2%,7,2,0
Gaming Console - Model 156,Gaming Console,204,26,0.0%,66.6%,8.3%,25.2%,17,2,7
Gaming Console - Model 157,Gaming Console,204,88,0.0%,65.6%,24.3%,10.1%,58,21,9
Gaming Console - Model 158,Gaming Console,204,53,0.0%,74.4%,5.3%,20.2%,39,3,11
Gaming Console - Model 159,Gaming Console,204,25,0.0%,67.4%,5.5%,27.1%,17,1,7
Gaming Console - Model 160,Gaming Console,204,67,0.0%,68.3%,20.9%,10.8%,46,14,7
Gaming Console - Model 161,Gaming Console,204,112,0.0%,45.9%,24.2%,29.9%,51,27,34
Gaming Console - Model 162,Gaming Console,204,128,0.0%,42.7%,25.7%,31.6%,55,33,40
Gaming Console - Model 163,Gaming Console,204,23,0.0%,50.5%,22.2%,27.3%,12,5,6
Gaming Console - Model 164,Gaming Console,204,9,0.0%,76.9%,13.5%,9.6%,7,1,1
Gaming Console - Model 165,Gaming Console,204,120,0.0%,60.1%,16.6%,23.3%,72,20,28
Gaming Console - Model 166,Gaming Console,204,5,0.0%,46.3%,19.8%,33.9%,2,1,2
Gaming Console - Model 167,Gaming Console,204,63,0.0%,69.7%,27.9%,2.4%,44,18,1
Gaming Console - Model 168,Gaming Console,204,7,0.0%,74.0%,17.8%,8.2%,5,1,1
Gaming Console - Model 169,Gaming Console,204,24,0.0%,68.8%,25.0%,6.2%,17,6,1
Gaming Console - Model 170,Gaming Console,204,26,0.0%,59.7%,7.9%,32.4%,16,2,8
Gaming Console - Model 171,Gaming Console,204,9,0.0%,57.5%,26.1%,16.4%,5,2,2
Gaming Console - Model 172,Gaming Console,204,126,0.0%,63.9%,23.1%,13.0%,80,29,17
Gaming Console - Model 173,Gaming Console,204,0,0.0%,47.4%,29.1%,23.5%,0,0,0
Gaming Console - Model 174,Gaming Console,204,110,0.0%,56.2%,21.3%,22.5%,62,23,25
Gaming Console - Model 175,Gaming Console,204,106,0.0%,40.8%,8.2%,51.1%,43,9,54
Gaming Console - Model 176,Gaming Console,204,19,0.0%,71.0%,29.0%,0.0%,13,6,0
Gaming Console - Model 177,Gaming Console,204,60,0.0%,52.8%,5.9%,41.3%,32,4,24
Gaming Console - Model 178,Gaming Console,204,14,0.0%,54.4%,5.4%,40.1%,8,1,5
Gaming Console - Model 179,Gaming Console,204,70,0.0%,47.7%,23.8%,28.5%,33,17,20
Gaming Console - Model 180,Gaming Console,204,41,0.0%,77.5%,7.2%,15.3%,32,3,6
Gaming Console - Model 181,Gaming Console,204,18,0.0%,62.3%,11.3%,26.3%,11,2,5
Gaming Console - Model 182,Gaming Console,204,25,0.0%,45.6%,10.5%,44.0%,11,3,11
Gaming Console - Model 183,Gaming Console,204,58,0.0%,63.1%,6.6%,30.3%,37,4,17
Gaming Console - Model 184,Gaming Console,204,117,0.0%,57.4%,8.4%,34.3%,67,10,40
Gaming Console - Model 185,Gaming Console,204,7,0.0%,50.9%,9.8%,39.3%,4,1,2
Gaming Console - Model 186,Gaming Console,204,42,0.0%,75.3%,22.7%,2.0%,32,10,0
Gaming Console - Model 187,Gaming Console,204,14,0.0%,74.7%,14.6%,10.7%,10,2,2
Gaming Console - Model 188,Gaming Console,204,80,0.0%,52.5%,14.5%,32.9%,42,12,26
Gaming Console - Model 189,Gaming Console,204,4,0.0%,40.7%,23.1%,36.1%,2,1,1
Gaming Console - Model 190,Gaming Console,204,58,0.0%,54.0%,12.8%,33.2%,31,7,20
Gaming Console - Model 191,Gaming Console,204,9,0.0%,63.9%,15.9%,20.2%,6,1,2
Gaming Console - Model 192,Gaming Console,204,45,0.0%,79.2%,13.9%,6.9%,36,6,3
Gaming Console - Model 193,Gaming Console,204,89,0.0%,64.6%,12.8%,22.7%,57,11,21
Gaming Console - Model 194,Gaming Console,204,69,0.0%,79.6%,16.1%,4.2%,55,11,3
Gaming Console - Model 195,Gaming Console,204,69,0.0%,65.4%,8.2%,26.5%,45,6,18
Gaming Console - Model 196,Gaming Console,204,36,0.0%,69.3%,11.7%,18.9%,25,4,7
Gaming Console - Model 197,Gaming Console,204,109,0.0%,57.9%,27.1%,15.0%,63,30,16
Gaming Console - Model 198,Gaming Console,204,44,0.0%,78.8%,15.6%,5.6%,35,7,2
Gaming Console - Model 199,Gaming Console,204,123,0.0%,73.4%,6.3%,20.3%,90,8,25
Gaming Console - Model 200,Gaming Console,204,39,0.0%,73.9%,20.7%,5.4%,29,8,2
Gaming Console - Model 201,Gaming Console,204,35,0.0%,59.5%,27.2%,13.2%,21,10,4
Gaming Console - Model 202,Gaming Console,204,12,0.0%,73.8%,12.4%,13.8%,9,1,2
Gaming Console - Model 203,Gaming Console,204,39,0.0%,71.7%,7.5%,20.9%,28,3,8
Gaming Console - Model 204,Gaming Console,204,7,0.0%,72.9%,21.9%,5.2%,5,2,0
Camcorder - Model 1,Camcorder,58,366,0.1%,68.1%,9.6%,22.3%,249,35,82
Camcorder - Model 2,Camcorder,58,66,0.0%,64.4%,23.2%,12.5%,43,15,8
Camcorder - Model 3,Camcorder,58,200,0.1%,52.6%,25.7%,21.7%,105,51,44
Camcorder - Model 4,Camcorder,58,107,0.0%,64.1%,14.7%,21.1%,69,16,22
Camcorder - Model 5,Camcorder,58,172,0.1%,62.3%,19.4%,18.3%,107,33,32
Camcorder - Model 6,Camcorder,58,43,0.0%,46.6%,15.1%,38.3%,20,6,17
Camcorder - Model 7,Camcorder,58,401,0.1%,53.7%,15.0%,31.2%,215,60,126
Camcorder - Model 8,Camcorder,58,107,0.0%,70.4%,17.1%,12.5%,75,18,14
Camcorder - Model 9,Camcorder,58,251,0.1%,77.6%,12.3%,10.0%,195,31,25
Camcorder - Model 10,Camcorder,58,64,0.0%,56.6%,24.7%,18.7%,36,16,12
Camcorder - Model 11,Camcorder,58,15,0.0%,61.8%,18.7%,19.5%,9,3,3
Camcorder - Model 12,Camcorder,58,158,0.1%,42.1%,15.0%,42.9%,67,24,67
Camcorder - Model 13,Camcorder,58,1,0.0%,50.8%,30.0%,19.2%,1,0,0
Camcorder - Model 14,Camcorder,58,91,0.0%,52.3%,27.1%,20.6%,48,25,18
Camcorder - Model 15,Camcorder,58,30,0.0%,67.0%,13.5%,19.4%,20,4,6
Camcorder - Model 16,Camcorder,58,139,0.1%,61.7%,26.0%,12.2%,86,36,17
Camcorder - Model 17,Camcorder,58,548,0.2%,75.3%,9.0%,15.7%,413,49,86
Camcorder - Model 18,Camcorder,58,88,0.0%,53.6%,13.4%,33.0%,47,12,29
Camcorder - Model 19,Camcorder,58,240,0.1%,41.7%,20.0%,38.4%,100,48,92
Camcorder - Model 20,Camcorder,58,100,0.0%,74.2%,14.5%,11.3%,74,15,11
Camcorder - Model 21,Camcorder,58,97,0.0%,69.6%,20.7%,9.7%,68,20,9
Camcorder - Model 22,Camcorder,58,376,0.1%,55.0%,8.5%,36.4%,207,32,137
Camcorder - Model 23,Camcorder,58,311,0.1%,68.4%,26.4%,5.3%,213,82,16
Camcorder - Model 24,Camcorder,58,217,0.1%,67.4%,5.4%,27.1%,146,12,59
Camcorder - Model 25,Camcorder,58,50,0.0%,48.6%,6.7%,44.6%,24,3,23
Camcorder - Model 26,Camcorder,58,111,0.0%,62.8%,23.9%,13.3%,70,27,14
Camcorder - Model 27,Camcorder,58,36,0.0%,44.4%,26.0%,29.6%,16,9,11
Camcorder - Model 28,Camcorder,58,83,0.0%,62.2%,22.2%,15.5%,52,18,13
Camcorder - Model 29,Camcorder,58,93,0.0%,78.9%,7.1%,14.1%,73,7,13
Camcorder - Model 30,Camcorder,58,251,0.1%,76.0%,8.2%,15.8%,191,20,40
Camcorder - Model 31,Camcorder,58,319,0.1%,55.7%,26.3%,18.0%,178,84,57
Camcorder - Model 32,Camcorder,58,76,0.0%,76.3%,17.7%,6.1%,58,13,5
Camcorder - Model 33,Camcorder,58,3,0.0%,63.8%,22.7%,13.5%,2,1,0
Camcorder - Model 34,Camcorder,58,279,0.1%,73.3%,8.0%,18.7%,205,22,52
Camcorder - Model 35,Camcorder,58,27,0.0%,72.4%,17.0%,10.6%,20,5,2
Camcorder - Model 36,Camcorder,58,137,0.0%,58.0%,15.6%,26.4%,79,21,37
Camcorder - Model 37,Camcorder,58,4,0.0%,60.4%,28.6%,11.0%,2,1,1
Camcorder - Model 38,Camcorder,58,72,0.0%,61.9%,28.8%,9.2%,45,21,6
Camcorder - Model 39,Camcorder,58,602,0.2%,47.2%,23.1%,29.7%,284,139,179
Camcorder - Model 40,Camcorder,58,15,0.0%,72.5%,22.0%,5.5%,11,3,1
Camcorder - Model 41,Camcorder,58,78,0.0%,64.3%,19.1%,16.6%,50,15,13
Camcorder - Model 42,Camcorder,58,52,0.0%,74.4%,25.5%,0.0%,39,13,0
Camcorder - Model 43,Camcorder,58,332,0.1%,44.9%,26.2%,28.9%,149,87,96
Camcorder - Model 44,Camcorder,58,287,0.1%,56.6%,11.3%,32.1%,162,33,92
Camcorder - Model 45,Camcorder,58,38,0.0%,74.8%,15.8%,9.4%,28,6,4
Camcorder - Model 46,Camcorder,58,12,0.0%,72.3%,11.6%,16.1%,9,1,2
Camcorder - Model 47,Camcorder,58,139,0.1%,40.2%,17.4%,42.5%,56,24,59
Camcorder - Model 48,Camcorder,58,58,0.0%,44.0%,23.9%,32.1%,26,14,18
Camcorder - Model 49,Camcorder,58,157,0.1%,51.0%,16.1%,32.9%,80,25,52
Camcorder - Model 50,Camcorder,58,5,0.0%,43.5%,12.2%,44.4%,2,1,2
Camcorder - Model 51,Camcorder,58,20,0.0%,71.3%,8.8%,20.0%,14,2,4
Camcorder - Model 52,Camcorder,58,164,0.1%,65.9%,27.9%,6.2%,108,46,10
Camcorder - Model 53,Camcorder,58,34,0.0%,67.2%,25.3%,7.5%,23,9,2
Camcorder - Model 54,Camcorder,58,275,0.1%,44.4%,11.3%,44.4%,122,31,122
Camcorder - Model 55,Camcorder,58,9,0.0%,75.8%,22.9%,1.3%,7,2,0
Camcorder - Model 56,Camcorder,58,34,0.0%,65.6%,21.6%,12.8%,22,7,5
Camcorder - Model 57,Camcorder,58,923,0.3%,56.6%,6.1%,37.3%,522,56,345
Camcorder - Model 58,Camcorder,58,80,0.0%,71.4%,22.0%,6.7%,57,18,5
Alarm Clock - Model 1,Alarm Clock,22,92,0.0%,41.0%,24.6%,34.4%,38,23,31
Alarm Clock - Model 2,Alarm Clock,22,79,0.0%,52.9%,5.9%,41.2%,42,5,32
Alarm Clock - Model 3,Alarm Clock,22,465,0.2%,76.7%,8.5%,14.8%,357,39,69
Alarm Clock - Model 4,Alarm Clock,22,360,0.1%,62.1%,11.9%,26.1%,223,43,94
Alarm Clock - Model 5,Alarm Clock,22,163,0.1%,42.6%,6.2%,51.1%,69,10,84
Alarm Clock - Model 6,Alarm Clock,22,32,0.0%,44.6%,6.8%,48.6%,14,2,16
Alarm Clock - Model 7,Alarm Clock,22,55,0.0%,70.4%,17.1%,12.4%,39,9,7
Alarm Clock - Model 8,Alarm Clock,22,241,0.1%,53.7%,15.5%,30.8%,129,37,75
Alarm Clock - Model 9,Alarm Clock,22,110,0.0%,74.7%,25.3%,0.0%,82,28,0
Alarm Clock - Model 10,Alarm Clock,22,409,0.1%,68.6%,27.1%,4.3%,281,111,17
Alarm Clock - Model 11,Alarm Clock,22,676,0.2%,52.8%,14.5%,32.7%,357,98,221
Alarm Clock - Model 12,Alarm Clock,22,370,0.1%,64.5%,20.6%,14.9%,239,76,55
Alarm Clock - Model 13,Alarm Clock,22,107,0.0%,59.3%,15.0%,25.7%,63,16,28
Alarm Clock - Model 14,Alarm Clock,22,351,0.1%,77.0%,23.0%,0.0%,270,81,0
Alarm Clock - Model 15,Alarm Clock,22,98,0.0%,57.4%,23.2%,19.4%,56,23,19
Alarm Clock - Model 16,Alarm Clock,22,41,0.0%,50.8%,7.5%,41.7%,21,3,17
Alarm Clock - Model 17,Alarm Clock,22,8,0.0%,54.1%,15.1%,30.8%,4,1,3
Alarm Clock - Model 18,Alarm Clock,22,110,0.0%,40.7%,25.4%,34.0%,45,28,37
Alarm Clock - Model 19,Alarm Clock,22,528,0.2%,54.4%,19.5%,26.1%,287,103,138
Alarm Clock - Model 20,Alarm Clock,22,62,0.0%,43.0%,9.4%,47.7%,27,6,29
Alarm Clock - Model 21,Alarm Clock,22,52,0.0%,75.6%,20.2%,4.2%,39,11,2
Alarm Clock - Model 22,Alarm Clock,22,790,0.3%,74.0%,26.0%,0.0%,585,205,0
Wall Clock - Model 1,Wall Clock,89,53,0.0%,75.5%,22.9%,1.6%,40,12,1
Wall Clock - Model 2,Wall Clock,89,86,0.0%,41.5%,15.7%,42.8%,36,14,36
Wall Clock - Model 3,Wall Clock,89,248,0.1%,70.2%,19.6%,10.2%,174,49,25
Wall Clock - Model 4,Wall Clock,89,274,0.1%,75.4%,24.6%,0.0%,207,67,0
Wall Clock - Model 5,Wall Clock,89,27,0.0%,53.3%,7.1%,39.6%,14,2,11
Wall Clock - Model 6,Wall Clock,89,5,0.0%,77.8%,17.9%,4.3%,4,1,0
Wall Clock - Model 7,Wall Clock,89,41,0.0%,43.0%,25.4%,31.6%,18,10,13
Wall Clock - Model 8,Wall Clock,89,133,0.0%,74.7%,21.0%,4.3%,99,28,6
Wall Clock - Model 9,Wall Clock,89,337,0.1%,57.9%,21.6%,20.5%,195,73,69
Wall Clock - Model 10,Wall Clock,89,9,0.0%,68.3%,27.3%,4.4%,6,2,1
Wall Clock - Model 11,Wall Clock,89,3,0.0%,78.2%,17.9%,3.9%,2,1,0
Wall Clock - Model 12,Wall Clock,89,241,0.1%,71.4%,28.6%,0.0%,172,69,0
Wall Clock - Model 13,Wall Clock,89,154,0.1%,46.0%,5.5%,48.5%,71,8,75
Wall Clock - Model 14,Wall Clock,89,542,0.2%,74.8%,9.9%,15.4%,405,54,83
Wall Clock - Model 15,Wall Clock,89,56,0.0%,41.7%,9.0%,49.3%,23,5,28
Wall Clock - Model 16,Wall Clock,89,60,0.0%,55.4%,10.5%,34.2%,33,6,21
Wall Clock - Model 17,Wall Clock,89,21,0.0%,52.2%,29.4%,18.4%,11,6,4
Wall Clock - Model 18,Wall Clock,89,14,0.0%,68.2%,22.8%,9.0%,10,3,1
Wall Clock - Model 19,Wall Clock,89,96,0.0%,43.8%,23.3%,32.9%,42,22,32
Wall Clock - Model 20,Wall Clock,89,51,0.0%,69.6%,21.5%,8.9%,35,11,5
Wall Clock - Model 21,Wall Clock,89,9,0.0%,49.1%,15.6%,35.3%,4,1,4
Wall Clock - Model 22,Wall Clock,89,243,0.1%,73.9%,21.8%,4.4%,179,53,11
Wall Clock - Model 23,Wall Clock,89,25,0.0%,69.3%,19.7%,11.0%,17,5,3
Wall Clock - Model 24,Wall Clock,89,154,0.1%,58.0%,24.0%,18.0%,89,37,28
Wall Clock - Model 25,Wall Clock,89,37,0.0%,42.7%,21.8%,35.5%,16,8,13
Wall Clock - Model 26,Wall Clock,89,187,0.1%,77.7%,22.3%,0.0%,145,42,0
Wall Clock - Model 27,Wall Clock,89,14,0.0%,51.6%,11.9%,36.4%,7,2,5
Wall Clock - Model 28,Wall Clock,89,157,0.1%,66.7%,27.4%,5.9%,105,43,9
Wall Clock - Model 29,Wall Clock,89,12,0.0%,63.1%,18.2%,18.7%,8,2,2
Wall Clock - Model 30,Wall Clock,89,66,0.0%,46.4%,22.9%,30.7%,31,15,20
Wall Clock - Model 31,Wall Clock,89,148,0.1%,68.1%,29.2%,2.7%,101,43,4
Wall Clock - Model 32,Wall Clock,89,21,0.0%,52.0%,23.9%,24.1%,11,5,5
Wall Clock - Model 33,Wall Clock,89,38,0.0%,57.4%,19.0%,23.7%,22,7,9
Wall Clock - Model 34,Wall Clock,89,223,0.1%,72.7%,10.5%,16.8%,162,24,37
Wall Clock - Model 35,Wall Clock,89,242,0.1%,53.7%,24.3%,22.0%,130,59,53
Wall Clock - Model 36,Wall Clock,89,5,0.0%,62.8%,7.3%,29.9%,3,0,2
Wall Clock - Model 37,Wall Clock,89,21,0.0%,57.2%,19.7%,23.1%,12,4,5
Wall Clock - Model 38,Wall Clock,89,14,0.0%,76.4%,9.7%,13.9%,11,1,2
Wall Clock - Model 39,Wall Clock,89,22,0.0%,72.2%,8.3%,19.5%,16,2,4
Wall Clock - Model 40,Wall Clock,89,392,0.1%,49.7%,11.1%,39.2%,195,43,154
Wall Clock - Model 41,Wall Clock,89,90,0.0%,75.1%,10.0%,14.9%,68,9,13
Wall Clock - Model 42,Wall Clock,89,70,0.0%,71.5%,16.5%,12.0%,50,12,8
Wall Clock - Model 43,Wall Clock,89,465,0.2%,77.0%,23.0%,0.0%,358,107,0
Wall Clock - Model 44,Wall Clock,89,91,0.0%,69.6%,26.8%,3.6%,63,24,4
Wall Clock - Model 45,Wall Clock,89,121,0.0%,65.4%,26.1%,8.5%,79,32,10
Wall Clock - Model 46,Wall Clock,89,45,0.0%,50.4%,7.4%,42.1%,23,3,19
Wall Clock - Model 47,Wall Clock,89,54,0.0%,64.6%,15.9%,19.5%,35,9,10
Wall Clock - Model 48,Wall Clock,89,101,0.0%,57.1%,18.2%,24.8%,58,18,25
Wall Clock - Model 49,Wall Clock,89,8,0.0%,54.5%,20.7%,24.9%,4,2,2
Wall Clock - Model 50,Wall Clock,89,33,0.0%,41.2%,29.2%,29.5%,14,10,9
Wall Clock - Model 51,Wall Clock,89,24,0.0%,74.3%,25.7%,0.0%,18,6,0
Wall Clock - Model 52,Wall Clock,89,2,0.0%,54.6%,18.3%,27.1%,1,0,1
Wall Clock - Model 53,Wall Clock,89,86,0.0%,75.3%,24.7%,0.0%,65,21,0
Wall Clock - Model 54,Wall Clock,89,92,0.0%,71.6%,15.2%,13.2%,66,14,12
Wall Clock - Model 55,Wall Clock,89,54,0.0%,62.6%,24.8%,12.6%,34,13,7
Wall Clock - Model 56,Wall Clock,89,35,0.0%,50.9%,20.7%,28.4%,18,7,10
Wall Clock - Model 57,Wall Clock,89,118,0.0%,73.1%,22.7%,4.2%,86,27,5
Wall Clock - Model 58,Wall Clock,89,16,0.0%,59.2%,19.6%,21.2%,9,3,4
Wall Clock - Model 59,Wall Clock,89,82,0.0%,79.5%,20.0%,0.4%,65,16,1
Wall Clock - Model 60,Wall Clock,89,163,0.1%,71.4%,23.2%,5.4%,116,38,9
Wall Clock - Model 61,Wall Clock,89,20,0.0%,68.1%,22.9%,9.0%,14,5,1
Wall Clock - Model 62,Wall Clock,89,156,0.1%,58.2%,16.9%,25.0%,91,26,39
Wall Clock - Model 63,Wall Clock,89,160,0.1%,58.7%,5.8%,35.5%,94,9,57
Wall Clock - Model 64,Wall Clock,89,7,0.0%,49.6%,8.9%,41.5%,3,1,3
Wall Clock - Model 65,Wall Clock,89,2,0.0%,75.5%,11.9%,12.7%,2,0,0
